Gene
STK15
PLK
CENPE
CKS2
CCNA2
CDC6
CCNB1
E2F1
PCNA
CIT
GOLGIN-67
ORC 1
PRIM1
VCL
BRCA1
CCNE2
PSEN1
CDC42
cutoff
ZNF162
YY1
