"","hsa","nm","genes"
"1","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","HK3"
"2","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","HK1"
"3","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","HK2"
"4","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","HKDC1"
"5","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","GCK"
"6","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","GPI"
"7","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PFKM"
"8","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PFKP"
"9","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PFKL"
"10","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","FBP1"
"11","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","FBP2"
"12","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDOC"
"13","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDOA"
"14","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDOB"
"15","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","TPI1"
"16","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","GAPDH"
"17","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","GAPDHS"
"18","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PGK2"
"19","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PGK1"
"20","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PGAM1"
"21","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PGAM2"
"22","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PGAM4"
"23","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ENO3"
"24","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ENO2"
"25","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ENO1"
"26","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ENO4"
"27","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PKM"
"28","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PKLR"
"29","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PDHA2"
"30","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PDHA1"
"31","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PDHB"
"32","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","DLAT"
"33","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","DLD"
"34","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","LDHAL6A"
"35","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","LDHAL6B"
"36","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","LDHA"
"37","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","LDHB"
"38","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","LDHC"
"39","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH1A"
"40","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH1B"
"41","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH1C"
"42","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH7"
"43","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH4"
"44","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH5"
"45","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADH6"
"46","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","AKR1A1"
"47","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH2"
"48","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH3A2"
"49","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH1B1"
"50","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH7A1"
"51","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH9A1"
"52","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH3B1"
"53","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH3B2"
"54","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ALDH3A1"
"55","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ACSS1"
"56","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ACSS2"
"57","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","GALM"
"58","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PGM1"
"59","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PGM2"
"60","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","G6PC1"
"61","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","G6PC2"
"62","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","G6PC3"
"63","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","ADPGK"
"64","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","BPGM"
"65","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","MINPP1"
"66","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PCK1"
"67","path:hsa00010","Glycolysis / Gluconeogenesis - Homo sapiens (human)","PCK2"
"68","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","CS"
"69","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","ACLY"
"70","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","ACO2"
"71","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","ACO1"
"72","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","IDH1"
"73","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","IDH2"
"74","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","IDH3B"
"75","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","IDH3G"
"76","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","IDH3A"
"77","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","OGDHL"
"78","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","OGDH"
"79","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","DLST"
"80","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","DLD"
"81","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","SUCLG1"
"82","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","SUCLG2"
"83","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","SUCLA2"
"84","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","SDHA"
"85","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","SDHB"
"86","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","SDHC"
"87","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","SDHD"
"88","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","FH"
"89","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","MDH1"
"90","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","MDH2"
"91","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","PC"
"92","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","PCK1"
"93","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","PCK2"
"94","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","PDHA2"
"95","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","PDHA1"
"96","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","PDHB"
"97","path:hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)","DLAT"
"98","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","GPI"
"99","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","G6PD"
"100","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","PGLS"
"101","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","H6PD"
"102","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","PGD"
"103","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","RPE"
"104","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","RPEL1"
"105","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","TKT"
"106","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","TKTL2"
"107","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","TKTL1"
"108","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","TALDO1"
"109","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","RPIA"
"110","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","DERA"
"111","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","RBKS"
"112","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","PGM1"
"113","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","PGM2"
"114","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","PRPS1L1"
"115","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","PRPS2"
"116","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","PRPS1"
"117","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","RGN"
"118","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","IDNK"
"119","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","GLYCTK"
"120","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","ALDOC"
"121","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","ALDOA"
"122","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","ALDOB"
"123","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","FBP1"
"124","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","FBP2"
"125","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","PFKM"
"126","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","PFKP"
"127","path:hsa00030","Pentose phosphate pathway - Homo sapiens (human)","PFKL"
"128","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","GUSB"
"129","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","KL"
"130","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT2A1"
"131","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT2A3"
"132","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT2B17"
"133","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT2B11"
"134","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT2B28"
"135","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT1A6"
"136","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT1A4"
"137","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT1A1"
"138","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT1A3"
"139","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT2B10"
"140","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT1A9"
"141","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT2B7"
"142","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT1A10"
"143","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT1A8"
"144","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT1A5"
"145","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT2B15"
"146","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT1A7"
"147","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT2B4"
"148","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGT2A2"
"149","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGDH"
"150","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","UGP2"
"151","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","AKR1A1"
"152","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","CRYL1"
"153","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","RPE"
"154","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","RPEL1"
"155","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","XYLB"
"156","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","AKR1B1"
"157","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","AKR1B10"
"158","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","DCXR"
"159","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","SORD"
"160","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","DHDH"
"161","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","FGGY"
"162","path:hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)","CRPPA"
"163","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","MPI"
"164","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","PMM2"
"165","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","PMM1"
"166","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","GMPPB"
"167","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","GMPPA"
"168","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","GMDS"
"169","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","GFUS"
"170","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","FPGT"
"171","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","FCSK"
"172","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","ENOSF1"
"173","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","HK3"
"174","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","HK1"
"175","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","HK2"
"176","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","HKDC1"
"177","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","PFKM"
"178","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","PFKP"
"179","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","PFKL"
"180","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","FBP1"
"181","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","FBP2"
"182","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","PFKFB1"
"183","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","PFKFB2"
"184","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","PFKFB3"
"185","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","PFKFB4"
"186","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","TIGAR"
"187","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","KHK"
"188","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","SORD"
"189","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","AKR1B1"
"190","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","AKR1B10"
"191","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","ALDOC"
"192","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","ALDOA"
"193","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","ALDOB"
"194","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","TPI1"
"195","path:hsa00051","Fructose and mannose metabolism - Homo sapiens (human)","TKFC"
"196","path:hsa00052","Galactose metabolism - Homo sapiens (human)","GALM"
"197","path:hsa00052","Galactose metabolism - Homo sapiens (human)","GALK1"
"198","path:hsa00052","Galactose metabolism - Homo sapiens (human)","GALT"
"199","path:hsa00052","Galactose metabolism - Homo sapiens (human)","GALE"
"200","path:hsa00052","Galactose metabolism - Homo sapiens (human)","UGP2"
"201","path:hsa00052","Galactose metabolism - Homo sapiens (human)","PGM1"
"202","path:hsa00052","Galactose metabolism - Homo sapiens (human)","PGM2"
"203","path:hsa00052","Galactose metabolism - Homo sapiens (human)","HK3"
"204","path:hsa00052","Galactose metabolism - Homo sapiens (human)","HK1"
"205","path:hsa00052","Galactose metabolism - Homo sapiens (human)","HK2"
"206","path:hsa00052","Galactose metabolism - Homo sapiens (human)","HKDC1"
"207","path:hsa00052","Galactose metabolism - Homo sapiens (human)","GCK"
"208","path:hsa00052","Galactose metabolism - Homo sapiens (human)","G6PC1"
"209","path:hsa00052","Galactose metabolism - Homo sapiens (human)","G6PC2"
"210","path:hsa00052","Galactose metabolism - Homo sapiens (human)","G6PC3"
"211","path:hsa00052","Galactose metabolism - Homo sapiens (human)","GLB1"
"212","path:hsa00052","Galactose metabolism - Homo sapiens (human)","LCT"
"213","path:hsa00052","Galactose metabolism - Homo sapiens (human)","LALBA"
"214","path:hsa00052","Galactose metabolism - Homo sapiens (human)","B4GALT1"
"215","path:hsa00052","Galactose metabolism - Homo sapiens (human)","B4GALT2"
"216","path:hsa00052","Galactose metabolism - Homo sapiens (human)","GLA"
"217","path:hsa00052","Galactose metabolism - Homo sapiens (human)","AKR1B1"
"218","path:hsa00052","Galactose metabolism - Homo sapiens (human)","AKR1B10"
"219","path:hsa00052","Galactose metabolism - Homo sapiens (human)","PFKM"
"220","path:hsa00052","Galactose metabolism - Homo sapiens (human)","PFKP"
"221","path:hsa00052","Galactose metabolism - Homo sapiens (human)","PFKL"
"222","path:hsa00052","Galactose metabolism - Homo sapiens (human)","MGAM"
"223","path:hsa00052","Galactose metabolism - Homo sapiens (human)","MGAM2"
"224","path:hsa00052","Galactose metabolism - Homo sapiens (human)","GAA"
"225","path:hsa00052","Galactose metabolism - Homo sapiens (human)","GANC"
"226","path:hsa00052","Galactose metabolism - Homo sapiens (human)","SI"
"227","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGDH"
"228","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT2A1"
"229","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT2A3"
"230","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT2B17"
"231","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT2B11"
"232","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT2B28"
"233","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT1A6"
"234","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT1A4"
"235","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT1A1"
"236","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT1A3"
"237","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT2B10"
"238","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT1A9"
"239","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT2B7"
"240","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT1A10"
"241","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT1A8"
"242","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT1A5"
"243","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT2B15"
"244","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT1A7"
"245","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT2B4"
"246","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","UGT2A2"
"247","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","GUSB"
"248","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","KL"
"249","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","MIOX"
"250","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","AKR1A1"
"251","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","RGN"
"252","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","ALDH2"
"253","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","ALDH3A2"
"254","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","ALDH1B1"
"255","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","ALDH7A1"
"256","path:hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)","ALDH9A1"
"257","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","ACACA"
"258","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","ACACB"
"259","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","ACSF3"
"260","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","MCAT"
"261","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","FASN"
"262","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","OXSM"
"263","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","CBR4"
"264","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","HSD17B8"
"265","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","HTD2"
"266","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","MECR"
"267","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","OLAH"
"268","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","ACSL6"
"269","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","ACSL4"
"270","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","ACSL1"
"271","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","ACSL5"
"272","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","ACSL3"
"273","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","ACSBG1"
"274","path:hsa00061","Fatty acid biosynthesis - Homo sapiens (human)","ACSBG2"
"275","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","ACAA2"
"276","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","HADHB"
"277","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","HADH"
"278","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","HADHA"
"279","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","ECHS1"
"280","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","MECR"
"281","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","PPT1"
"282","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","PPT2"
"283","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","ELOVL1"
"284","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","ELOVL2"
"285","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","ELOVL3"
"286","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","ELOVL4"
"287","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","ELOVL5"
"288","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","ELOVL6"
"289","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","ELOVL7"
"290","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","HSD17B12"
"291","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","HACD2"
"292","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","HACD1"
"293","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","HACD4"
"294","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","HACD3"
"295","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","TECR"
"296","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","ACOT4"
"297","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","ACOT2"
"298","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","ACOT1"
"299","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","ACOT7"
"300","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","THEM4"
"301","path:hsa00062","Fatty acid elongation - Homo sapiens (human)","THEM5"
"302","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACAT2"
"303","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACAT1"
"304","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACAA1"
"305","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACAA2"
"306","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","HADHB"
"307","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","HADH"
"308","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","HADHA"
"309","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","EHHADH"
"310","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ECHS1"
"311","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACOX3"
"312","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACOX1"
"313","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACADS"
"314","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACADM"
"315","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACADL"
"316","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACADSB"
"317","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACADVL"
"318","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","GCDH"
"319","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACSL6"
"320","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACSL4"
"321","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACSL1"
"322","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACSL5"
"323","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACSL3"
"324","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACSBG1"
"325","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ACSBG2"
"326","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","CPT1A"
"327","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","CPT1B"
"328","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","CPT1C"
"329","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","CPT2"
"330","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ECI1"
"331","path:hsa00071","Fatty acid degradation - Homo sapiens (human)","ECI2"
